gene_id	colors
SLC39A4	brown
HOXA10	yellow
NOS2	turquoise
SLC37A4	brown
CFH /// CFHR1	blue
IGLJ3 /// IGLV3-19 /// IGLV3-19	salmon
ACKR1	blue
CLDN15	brown
MPP1	brown
CYP27A1	brown
RAB31	blue
CHN1	blue
SAT2	brown
METTL7B	brown
STC1	blue
EGR3	blue
FGR	blue
ACY3	brown
FUOM	brown
PDE4B	blue
PLAUR	green
PYY	yellow
LOC101930415	red
SOD2	blue
LOC102724788 /// PRODH	brown
AKR1B1	blue
GPR183	blue
DKK1	green
ARG2	brown
HOXA5	yellow
IGDCC4	blue
DDC	brown
FAP	blue
LURAP1L	yellow
MCEMP1	blue
QPCT	blue
SAMSN1	blue
PXDN	blue
LOC101930052 /// LOC102724562 /// MST1 /// MST1L /// MST1P2	brown
LOC100129518 /// SOD2	blue
MUC5AC	grey
KCNJ2	blue
CD302 /// LY75 /// LY75-CD302	brown
AQP1	brown
ROBO1	blue
TNFSF13B	cyan
SLC26A4	yellow
SLC26A3	yellow
C3	purple
CYP3A5	brown
PAX8-AS1	grey
CLEC4A	blue
RAB17	brown
CCL23	grey
RUNDC3B	brown
TMEM200A	turquoise
GPNMB	purple
MUC5B	yellow
GCNT1	brown
IL11	blue
S100A4	blue
BST1	brown
EPHA2	green
LOC100293211	salmon
EPHX2	brown
AIM2	purple
PPP1R14C	yellow
IL32	brown
TLR2	blue
CD19	purple
TUBB6	blue
NPY1R	yellow
IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// IGHV4-31	salmon
MRGPRF	blue
TRIM31	turquoise
TUBAL3	brown
NAMPT	blue
PDZK1IP1	green
HYAL1	blue
LRRK2	blue
CDR2L	brown
CLIC2	blue
GGH	yellow
ACOX2	brown
APCDD1	blue
SDR16C5	green
MT1F	brown
REG4	brown
GEM	blue
PTGDS	purple
DAK	brown
CMPK2	cyan
HACL1	brown
SLC5A11	brown
PSCA	grey
PIGZ	yellow
PCDH17	blue
PFKFB3	blue
CKAP2 /// IGLC1 /// IGLV1-40 /// IGLV1-40 /// IGLV1-50 /// IGLV1-50	salmon
ANKRD22	yellow
SLC51B	brown
PRKCDBP	blue
LEPREL1	yellow
CALCRL	blue
OASL	turquoise
GPR116	blue
AQP3	brown
RBKS	brown
FRMD6	blue
MEOX1	blue
SLC39A5	brown
SLC28A1	brown
CCNYL1	turquoise
LOC101929910 /// LOC613037 /// NPIPA5 /// NPIPB3 /// NPIPB4 /// NPIPB5	red
CPVL	cyan
MEIS2	blue
GGT1 /// GGT2 /// GGT3P /// GGTLC1 /// GGTLC2 /// LOC100132705 /// LOC102724197	brown
EYA2	yellow
GUCY1A3	blue
IGHV3-73 /// IGHV3-73	salmon
CDH3	blue
LAPTM5	purple
PCOLCE	blue
OSM	blue
GSTM2	brown
CSRP2	blue
FAM65B	blue
ADAMTS1	blue
C1QB	blue
FLJ36848	yellow
HBG1 /// HBG2	blue
UNC5D	brown
KLK6	blue
NMU	green
DENND5A	blue
CEACAM6	yellow
RP11-44F21.5	yellow
ELOVL6	yellow
TMEM119	blue
CLU	purple
ZNF595	red
EGLN3	yellow
SLAMF7	blue
CXCL17	grey
IFIT3	cyan
TAGAP	blue
TMED6	brown
CLMP	blue
CXCL12	blue
RP3-428L16.2	blue
REG3G	brown
PRSS2	brown
SPINK4	brown
ISX	magenta
BEX5	blue
IGHA1 /// IGHA2 /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	salmon
COL1A1	blue
MOGAT2	brown
BAMBI	green
CDH5	blue
LOC102723845	brown
GLUL	green
GK3P	brown
KRT6B	green
AKR1B10	brown
IGFBP3	blue
COL12A1	blue
GSTM1	brown
BDH2	brown
CEMIP	blue
FNDC1	blue
IGK /// IGKC	salmon
GPR18	purple
C1R	blue
CES2	brown
GLIPR1	blue
TMEM173	yellow
GBP4	cyan
SNHG5 /// SNORD50A /// SNORD50B	grey
MST1	brown
HK1	yellow
LOC731424	blue
IGLV1-44	salmon
CORO1A	purple
C2CD4A	turquoise
THEMIS2	blue
BANK1	purple
TPSB2	grey
NPC1L1	brown
RAI14	blue
IFI6	turquoise
RP11-382B18.4	brown
BMP2	yellow
EMP3	blue
PHYHIPL	brown
CCK	brown
GIMAP7	blue
IFIT2	cyan
CYP2J2	brown
SERPINF1	blue
ALOX5AP	blue
SLC5A9	brown
ADH6	brown
MT1X	grey
SSUH2	brown
TGFB1I1	blue
CLEC5A	blue
AC079767.4	purple
KCNJ3	brown
TCN2	brown
ERRFI1	green
CD24	yellow
LRP4	yellow
SOWAHC	yellow
GABBR1 /// UBD	cyan
SERPINE1	blue
ACAD11 /// NPHP3 /// NPHP3-ACAD11	brown
MT1H	grey
RBMS1	blue
COL4A2	blue
LDLRAD3	blue
HOXD11	yellow
TGFBI	blue
IL1RN	blue
PRDX6	yellow
UGT2B28	brown
FXYD3	yellow
SRD5A3	green
EVI2B	blue
CLIC4	blue
CYP1A1	brown
CD160	brown
EML1	blue
ERO1L	green
CYYR1	blue
APOL1	turquoise
ANPEP	brown
TNC	blue
GCA	blue
RP1-193H18.2	yellow
TLR4	blue
ANXA13	brown
SLC9A3R1	brown
STS	yellow
CRYL1	brown
CRYZ	brown
HAPLN4	brown
FCGR1A /// FCGR1B /// FCGR1C	cyan
KIAA0226L	green
DDX3Y	blue
HSD3B2	brown
FOSB	green
LAPTM4B	brown
CD274	turquoise
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31	salmon
MACC1	brown
RCAN2	blue
CT83	grey
CPE	brown
ITGA5	blue
TEX11	yellow
PRKG2	magenta
CECR1	purple
HSPA2	yellow
C1QC	blue
RTEL1-TNFRSF6B /// TNFRSF6B	green
AKAP2 /// PALM2-AKAP2	blue
APOBEC3B	yellow
FAM26F	cyan
MXRA5	grey
SRGN	blue
CRIP1	brown
HPSE	yellow
GCHFR	brown
WISP1	blue
CCL5	brown
GALNT6	brown
NELL2	brown
SOSTDC1	turquoise
GK	brown
CTAGE5 /// MIA2	brown
SLC25A34	brown
GGTLC1	brown
GMFG	blue
IL18	turquoise
AZGP1 /// AZGP1P1	brown
CNN3	midnightblue
AKR7A3	brown
CCL28	yellow
CA7	yellow
HAS2	blue
GBP1	cyan
CD52	purple
GSTT1	grey
POMZP3 /// ZP3	grey
RCSD1	purple
SCGB2A1	yellow
CARD16 /// CASP1	turquoise
IGFBP2	brown
GPX7	blue
SLC30A10	greenyellow
C3AR1	blue
C5	brown
ZG16	yellow
CFH	blue
FBN1	blue
C6orf58	brown
LCP1	blue
LRMP	purple
POMZP3	grey
POSTN	blue
FLVCR1-AS1	brown
AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH	salmon
NCF1 /// NCF1B /// NCF1C	purple
AK4 /// LOC100507855	yellow
KYNU	blue
ANXA1	green
CNN1	blue
ZNF521	blue
RAMP1	brown
PIGR	turquoise
FGF19	brown
CTD-2325A15.5	turquoise
LY6D	green
BST2	turquoise
GIPC2	brown
IGLL3P	salmon
LINC00263 /// PP7080	magenta
FABP5	yellow
SGCE	blue
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31	salmon
CYTIP	purple
ATRN	brown
TCF4	blue
ENPP2	blue
RP11-363E7.4	brown
LINC00992 /// LINC00992	yellow
EGR1	green
MAN1A1	brown
HPS5	brown
MAFF	green
HSPB1	yellow
CD79A	salmon
TCRDV2 /// TRDC /// TRDC /// YME1L1	brown
IQCJ-SCHIP1 /// SCHIP1	blue
PTGS1	blue
GSPT2	yellow
PPP1R18	purple
A1CF	brown
PLN	blue
ZG16B	green
MUC1	yellow
SULT1A2	brown
UCA1	yellow
PECAM1	blue
P2RX5	purple
LOC220729 /// SDHA /// SDHAP1 /// SDHAP2	lightcyan
RARRES2	blue
TDO2	blue
DCN	blue
IGHA1 /// IGHG1 /// IGHM /// IGHV4-31	salmon
IL18RAP	blue
CPM	yellow
JUP /// KRT17	grey
CD55	green
KIT	yellow
ART3	green
SFRP2	blue
ICAM1	blue
ACVRL1	yellow
PAQR5	yellow
MCAM	blue
IYD	brown
CLEC3B /// EXOSC7	blue
CD72	purple
IGHA1 /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31	salmon
CD27	purple
mir-223	blue
TFF1	grey
OSMR	salmon
RHOH	purple
TDGF1 /// TDGF1P3	yellow
OLFML2B	blue
SLC28A2	magenta
MMP13	blue
STAT1	cyan
PTPRR	greenyellow
C2orf88	magenta
ACMSD	brown
GNAI1	yellow
PPARG	yellow
LINC00483	brown
PLEKHS1	brown
LINC00668	grey
CHRDL1	blue
PLAT	blue
HTRA1	blue
MS4A7	blue
DUSP4	grey
SLAMF8	blue
COL7A1	blue
MRO	brown
PRRX1	blue
ANKRD20A1 /// ANKRD20A11P /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20A5P /// ANKRD20A9P /// LOC102723891 /// LOC102725051	magenta
BPHL	brown
NEDD4	brown
GZMK	purple
ACSL5	brown
RHOU	brown
FN1	blue
ENTPD1	blue
IGSF6	blue
FAIM	turquoise
TM4SF1	green
NPNT	brown
LST1	blue
PLAGL1	yellow
AK057259 /// AK096803	yellow
GLIS3	blue
ACP5	turquoise
MUC6	brown
GRAMD2	greenyellow
TMEM47	blue
DEFB1	yellow
GNA15	green
RAC2	purple
FGF9	magenta
NRARP	yellow
MX2	blue
TMEM41A	brown
UPP1	turquoise
LYPD1	brown
TSPAN1	yellow
BCL6	blue
IGLC1 /// IGLV2-5 /// IGLV2-5	salmon
ALYREF	turquoise
SCNN1G	yellow
MAP2K6	yellow
GPR37 /// SEL1L2	turquoise
DUSP5	turquoise
ITGAM	blue
RAI2	grey
HLA-DPA1	cyan
LILRA3	blue
TWSG1	blue
PTHLH	blue
LOC100509445 /// LOC728715 /// OVOS /// OVOS2	grey
COL6A2	blue
GSTA3	brown
GUCY1B3	blue
CYB5A	brown
PLOD2	yellow
FERMT2	blue
TAGLN	blue
CNRIP1	blue
MT1E	grey
SOAT2	brown
AIFM3	yellow
PHLDA1	blue
ADAMDEC1	grey
NPIPB15	grey
FPR3	blue
GATA6-AS1	magenta
MIR100HG	blue
STT3A	turquoise
MPEG1	purple
TOX2	purple
IGHG1 /// IGHM	salmon
GLIPR2	yellow
TPRG1	turquoise
TMED2	turquoise
HSD11B2	yellow
PANK1	magenta
PIK3C2G	brown
LOC728613	brown
BSG	yellow
COPG1	turquoise
BCAT1	blue
TUBA1A	blue
C4BPB	green
MT2A	grey
LINC00152 /// LOC101930489 /// MIR4435-1HG	blue
ABAT	brown
STX19	yellow
GPD1	brown
FCAMR	purple
AK026714 /// PELI1	grey
ZFPM2	yellow
GCG	turquoise
GLT8D2	blue
NPY6R	brown
EMCN	blue
NDC80	turquoise
KCTD3	brown
FKBP5	turquoise
LCN2	green
SERPINA1	brown
ARPC4 /// ARPC4-TTLL3	turquoise
LOC100652777 /// PLA2G10	yellow
LMNB1	turquoise
SH3BP5	blue
KCTD12	yellow
REG1P	greenyellow
HOXD13	yellow
IFIT1	brown
EPSTI1	cyan
EREG	green
P2RY8	purple
NDN	blue
CCDC69	blue
KLK7	grey
BNIP3	blue
PPIF	blue
NCEH1	turquoise
PON3	brown
MIR6872 /// SEMA3B	brown
HLA-DMB	cyan
CD59	green
SULF1	blue
LOC101927668 /// MACC1	brown
APOBR	yellow
IL10RA	purple
FLRT3	brown
CR2	purple
SLFN11	blue
SCG2	brown
IGFBP4	blue
CD200	blue
FTX	red
PEBP1	brown
C1QA	blue
LOC102724441 /// LOC102724951 /// LOC389831	grey
GIMAP4	purple
LOC100506922	brown
TRIB2	grey
ST3GAL4	yellow
AKR1C3	brown
IGJ	salmon
CTSL	blue
LYPD8	yellow
CRYM	yellow
PSPH	grey
GPM6B	blue
SLC23A3	brown
PTGFR	blue
IFI16	blue
CD83	purple
CASP16	brown
CKAP2 /// IGLJ3 /// IGLV3-19 /// IGLV3-19	salmon
ASRGL1	yellow
C1orf162	purple
MFSD4	yellow
IGLJ3	salmon
BATF2	turquoise
TRBC1	purple
KDR	blue
CTD-2377D24.6	yellow
MT1HL1	grey
GALNT14	brown
ABCC6P1	magenta
HOXB7	yellow
SAMD9	turquoise
HHEX	blue
C11orf52 /// HSPB2 /// HSPB2-C11orf52	brown
GLYR1 /// SEPT6	purple
DEFA1 /// DEFA1B /// DEFA3	blue
RNF128	brown
TMEM25	brown
TMPRSS3	brown
LINC01093	blue
ZNF165	turquoise
SLC7A11	green
NARR /// RAB34	blue
PDXP /// SH3BP1	brown
SDC2	blue
DDX60	turquoise
DQX1	brown
GDPD2	brown
SLC16A6	blue
TMEM120A	brown
TNIK	brown
PIM2	salmon
LPGAT1	brown
PDP1	green
PP7080	magenta
MRC1	blue
VAV3	yellow
LOC101928789 /// SP140	purple
ASPN	blue
MPZL2	yellow
CYP1B1	blue
GALC	brown
SFRP5	brown
GIMAP6	blue
SLC25A15	brown
FAIM3	purple
MGP	blue
SPAG4	salmon
AQP7 /// LOC100509620 /// LOC101930168	brown
MAFB	purple
SPDYE1 /// SPDYE2 /// SPDYE2B /// SPDYE5 /// SPDYE6	red
MCTP1	blue
AHCYL2	yellow
LINC00341 /// SYNE3	salmon
PRR16	blue
LOC100134445	lightcyan
LOC101928605 /// OR2A1-AS1 /// OR2A20P /// OR2A9P	greenyellow
TIGD2	brown
NXN	blue
TARP /// TRGC2 /// TRGV9	brown
FHL1	blue
ARHGAP9	purple
SLC16A10	brown
PPP1R16A	brown
UGT2B15	magenta
FAM132B	blue
FCGR2A	blue
CEBPB	blue
CHGA	brown
OLR1	blue
RGN	brown
PLEKHO1	purple
LOC102724017	brown
RP11-548H18.2	brown
ACVR1C	magenta
SIGLEC15	brown
OPHN1	red
GFPT2	blue
NR0B2	brown
SLC16A1	grey
LOC101929272	salmon
LYVE1	blue
LOC101930059 /// LOC102724250 /// NBPF1 /// NBPF11 /// NBPF15	red
NCF1	purple
SACS	blue
STAP1	purple
ARRDC3	turquoise
CPNE5	salmon
SLC46A3	brown
RP11-38P22.2	greenyellow
PKP2	turquoise
LOC285628 /// MIR146A	turquoise
MLK7-AS1	brown
DPT	blue
HMGCS1	turquoise
RNF183	green
GAL3ST1	brown
TIMP3	blue
VIPR1	magenta
SCIN	brown
IGH /// IGHA1 /// IGHA2	salmon
MYO1F	blue
SERPINH1	blue
SLC25A20	brown
RP11-389C8.2	blue
RAPGEF4	brown
PIPOX	brown
AKIRIN2	turquoise
GULP1	brown
PDK4	brown
GALNT15	blue
NETO2	yellow
ACAT2	yellow
POR	brown
NDNF	yellow
